location,year,date,gradient_number,plot,aerial_basal,est_tot_cov,field_added_tot_cov,excel_added_tot_cov,field_other_tot_cov,excel_other_tot_cov,bare,dung,lichen,litter,moss,rock,ARPU,BOGR,BRAR,BRTE,HECO,KOMA,PASM,VUOC,CADU,CAFI,ARFR,ARTR,OPPO,ALTE,ALDE,ANPA,CAMI,COCA,COUM,HEHI,LASE,LEDE,LOAR,MILI,MUDI,POAV,PHHO,PLPA,PSTE,SPCO,TAOF,TRDU,VIAM
TB,2019,7/23/19,2,32,basal,44,42.25,42.25,95.25,95.25,24,2,7,15,0,5,0,31,4,0,0,2,2,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,1,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25
TB,2019,7/23/19,2,22,aerial,46,47.5,47.5,100,100,33,0.5,4,13,0,2,0,25,5,0,0,6,2,0,3,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,1,0,0.25,0.25,0,0,0.25,2,2
TB,2019,7/23/19,2,22,basal,37,32,32,97.5,97.5,40,0.5,6,14,0,5,0,22,2,0,0,4,0.5,0,1,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0.25,0.5,0.5
TB,2019,7/23/19,2,42,aerial,65,66.25,66.25,99.75,99.75,10,6,0.5,9,0,8,0,39,10,0,0,7,3,0,1,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,4,0,0.5,0,0,0,0,0,0,0,1
TB,2019,7/23/19,2,42,basal,55,50.25,50.25,95.25,95.25,14,8,1,12,0,10,0,37,4,0,0,4,1,0,0.5,0,0,0,1,0,0.25,0,0,0,0,0,0,0,2,0,0.25,0,0,0,0,0,0,0,0.25
TB,2019,7/22/19,3,33,aerial,60,61,61,97.5,107.5,16,0.5,2,18,5,5,0,38,5,0,0,4,3,0.25,2,0,0,0,3,0,0.25,0,0,0,0,0,0,0,4,0,1,0,0,0.25,0,0,0.25,0,0
TB,2019,7/22/19,3,33,basal,44,46.25,46.25,101.25,102.25,22,1,3,15,8,7,0,33,2,0,0,2,1,0.25,1,0,0,0,5,0,0.25,0,0,0,0,0,0,0,1,0,0.25,0,0,0.25,0,0,0.25,0,0
TB,2019,7/22/19,3,43,aerial,58,57.25,57.5,95.25,95.5,11,5,0,20,2,0,0,30,9,0,0,3,5,0.25,1,0,0,0,4,0,0,0,0.5,0,0,0.25,0,0.25,3,0,0.25,0,0,0,0,0,0,0.5,0.5
TB,2019,7/22/19,3,43,basal,49,45.25,45.25,98.25,98.25,25,6,0,18,4,0,0,28,4,0,0,2,2,0.25,0.5,0,0,0,6,0,0,0,0.25,0,0,0.25,0,0.25,1,0,0.25,0,0,0,0,0,0,0.25,0.25
TB,2019,7/22/19,3,3,aerial,65,62.25,62.25,97.25,97.25,23,0,3,7,0,2,0,50,1,0,0,0,1,0,4,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,5,0,0,0,0,0.25,0,0,0.25,0,0
TB,2019,7/22/19,3,3,basal,52,54.25,54.25,101.25,101.25,34,0,4,6,0,3,0,47,0.5,0,0,0,0.5,0,3,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,2,0,0,0,0,0.25,0,0,0.25,0,0
TB,2019,7/22/19,3,13,aerial,68,71.25,71.25,100.25,100.25,18,0.5,3,5,0.5,2,0,45,3,0,0,2,1,0.25,3,0,0,0,12,0,0,0,0,0,0,0.25,0,0,4,0,0.5,0,0,0.25,0,0,0,0,0
TB,2019,7/22/19,3,13,basal,60,61.5,61.5,102,102,25,0.5,4,4,1,6,0,43,1,0,0,1,0.5,0.25,2,0,0,0,12,0,0,0,0,0,0,0.25,0,0,1,0,0.25,0,0,0.25,0,0,0,0,0
TB,2019,7/22/19,3,23,aerial,61,62.5,62.5,95.5,95.5,16,3,1,12,0,1,0,41,4,0,0,6,2,0.25,4,0,0,0,0.25,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
TB,2019,7/22/19,3,23,basal,50,48.5,48.5,96.5,96.5,27,4,3,11,0,3,0,38,1,0,0,4,0.5,0.25,3,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0
TB,2019,7/23/19,4,14,aerial,55,58,58,98,98,21,2,3,4,1,9,0,33,0.25,3,0,4,1,0.25,0,5,2,0,1,0,0,0,0,0.25,1,0,0,0,2,0,1,0,3,1,0,0.25,0,0,0
TB,2019,7/23/19,4,14,basal,42,46.75,46.5,103.75,103.5,30,4,5,3,2,13,0,30,0.25,1,0,3,0.25,0.25,0,4,2,0,1,0,0,0,0,0.25,0.25,0,0,0,0.5,0,0.25,0,3,0.25,0,0.25,0,0,0
TB,2019,7/23/19,4,24,aerial,40,42.25,42.25,96.25,96.25,25,0,2,20,3,4,0,21,0.25,7,0,5,1,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TB,2019,7/23/19,4,24,basal,33,31.5,30.5,103.5,102.5,38,0,5,14,6,9,0,18,0.25,3,0,4,0.5,0,0,1,0,0,3,0,0,0,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0
TB,2019,7/23/19,4,34,aerial,30,26.5,26.5,97.5,97.5,28,0,0,35,0,8,0,0,0.25,14,0,0,3,0.25,0,0,0,0.25,8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,4,34,basal,22,19.25,19.25,98.25,98.25,36,0,0,31,0,12,0,0,0.25,8,0,0,1,0.25,0,0,0,0.25,9,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,4,44,aerial,45,48,48,102,112,37,0,0,23,0,4,0,8,0,25,0,2,5,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
TB,2019,7/23/19,4,44,basal,33,31,31,103,103,45,0,0,20,0,7,0,6,0,15,0,1,2,0,0,4,0.5,0,2,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0
TB,2019,7/23/19,4,4,aerial,40,41,41,101,101,29,0,8,4,2,17,0,30,0,0.25,0,5,1,0.25,0,3,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
TB,2019,7/23/19,4,4,basal,33,36.5,36.5,102.5,102.5,33,0,9,2,3,19,0,28,0,0.25,0,4,0.5,0.25,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,5,45,aerial,42,44.5,44.5,96.5,96.5,15,0,0,30,3,4,0,12,0.25,22,0,0,3,0.25,2,0,0,0,0,0,0.25,0,0,0,3,0.25,0,0,1,0,0,0,0,0.25,0,0.25,0,0,0
TB,2019,7/23/19,5,45,basal,30,34.75,33.75,100.75,99.75,25,0,0,28,5,8,0,15,0.25,14,0,0,1,0.25,1,0,0,0,0,0,0.25,0,0,0,1,0.25,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0
TB,2019,7/23/19,5,25,aerial,40,44.5,44.5,99.5,99.5,23,4,3,15,3,7,0,20,0,6,0.25,4,2,0.25,3,6,0,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,0,0,0.5,0,0,0,0,0
TB,2019,7/23/19,5,25,basal,32,31.5,31.5,98.5,98.5,30,5,5,12,5,10,0,18,0,3,0.25,3,1,0.25,1,4,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,5,15,aerial,36,40,40,95,95,31,0,2,16,1,5,4,20,0.25,4,0,5,1,0.25,0,3,0.25,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,5,15,basal,30,29,29,98,96,36,0,3,20,2,6,3,18,0.25,1,0,3,0.25,0.25,0,2,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,5,35,aerial,52,54.5,54.5,101.5,101.5,16,0,2,25,4,0,0,16,0,18,0,4,1,0,0,5,0,8,1,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
TB,2019,7/23/19,5,35,basal,50,49,49,97,97,18,0,3,22,5,0,0,18,0,12,0,3,0.25,0,0,4,0,9,2,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,5,5,aerial,33,34,34,97,95,30,0,6,8,0,17,2,25,0.25,0,0,2,1,0.25,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0
TB,2019,7/23/19,5,5,basal,26,25.5,25.5,103.5,102.5,40,0,10,6,0,21,1,21,0.25,0,0,1,0.25,0.25,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,6,16,aerial,42,45.75,43.75,98.75,95.75,17,1,5,25,4,0,2,25,0,3,0,5,1,0,0,2,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,3,0,0,0,0,0.25,0,0,0,1,0
TB,2019,7/23/19,6,16,basal,30,28.5,28.5,96.5,96.5,28,4,10,20,6,0,1,20,0,1,0,3,0.25,0,0,1,0,0,0.5,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0.25,0,0,0,0.25,0
TB,2019,7/23/19,6,26,aerial,30,30.5,30.5,95.5,95.5,40,0,0,15,0,10,5,0,0,7,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0.25,0,0,5,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,6,26,basal,22,21.75,21.75,103.75,103.75,48,0,0,19,0,15,4,0,0,5,0,0,0.25,0,0,10,0,0,0,0,0,0,0,0,0,0.25,0,0,2,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,6,36,aerial,57,53.5,54.5,100.5,101.5,10,0,0,32,0,5,0,0,0,37,0,5,2,0,3,0,0,0,3,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,2
TB,2019,7/23/19,6,36,basal,43,40.25,40.25,104.25,104.25,15,0,0,42,0,7,0,0,0,25,0,4,1,0,2,0,0,0,6,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,1
TB,2019,7/23/19,6,6,aerial,35,38.5,38.5,104.5,104.5,25,0,5,13,8,15,5,22,0.5,0.25,0,3,1,0.25,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0,0,0,0
TB,2019,7/23/19,6,6,basal,28,30.5,30.75,104.75,104.75,33,0,7,8,9,17,4,20,0.25,0.25,0,2,0.25,0.25,0,1,2,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/23/19,6,46,aerial,60,59,59,95,95,8,0,0,28,0,0,0,6,0.25,45,0,0,2,0.25,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0,1,0,0.25,0,0,0.5,0,0.25,0,0,0
TB,2019,7/23/19,6,46,basal,55,55,56.75,95,96.75,15,0,0,25,0,0,0,10,0.25,38,0,0,1,0.25,0,0,0,0,6,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0,0
TB,2019,7/24/19,7,7,aerial,45,50,50,101,101,32,0,6,4,0,9,0,33,0.25,0,0,4,2,0,1,3,2,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,2,0.5,0,1,0.25,0,0
TB,2019,7/24/19,7,7,basal,36,39.75,39.75,101.75,101.75,40,0,8,2,0,12,0,29,0.25,0,0,3,1,0,0.25,2,1,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,2,0.25,0,0.25,0.25,0,0
TB,2019,7/24/19,7,27,aerial,63,62,62,99,99,12,15,4,3,3,0,0,40,5,0,0,8,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0.25,0,2,0,0,0
TB,2019,7/24/19,7,27,basal,48,47.75,47.5,96.75,96.5,15,18,6,5,5,0,0,39,2,0,0,4,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0.25,0,0.25,0,0,0
TB,2019,7/24/19,7,17,aerial,40,43.5,43.5,96.5,96.5,30,0,8,10,5,0,0,15,3,0,0,4,2,0,2,0,6,5,0,0,0,0,0,0,0,0.25,0,0,2,0,0,0,1,0.25,0,2,1,0,0
TB,2019,7/24/19,7,17,basal,32,32,32,95,95,37,0,11,7,8,0,0,14,1,0,0,2,0.25,0,0.25,0,5,5,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,2,0.25,0,0.5,1,0,0
TB,2019,7/24/19,7,47,aerial,55,56,56,96,96,12,0,2,23,2,1,0,10,20,0,0,8,2,0,2,0,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,2,1,0
TB,2019,7/24/19,7,47,basal,48,44.5,45,95.5,96,18,0,4,21,5,3,0,15,14,0,0,5,0.5,0,0.5,0,3,0,5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0.25,1,0.25,0
TB,2019,7/24/19,7,37,aerial,62,65.25,65.25,102.25,102.25,10,0,0,23,1,3,0,38,8,0,0,5,1,0.5,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1,3,0.25,0
TB,2019,7/24/19,7,37,basal,54,52,52,96,96,16,0,0,20,3,5,0,35,3,0,0,2,0.25,0.25,0,0,0,0,10,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0.5,0.25,0
TB,2019,7/24/19,8,8,aerial,60,60.75,60.75,102.75,100.75,12,2,10,6,0,10,0,45,0.25,0,0,5,3,0,0,1,0,0,0,0,0.25,0,0,0,0,0.25,0,0,3,0,0,0,0,1,0,2,0,0,0
TB,2019,7/24/19,8,8,basal,50,47,47,97,97,16,3,13,4,0,14,0,40,0.25,0,0,3,1,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0.25,0,0,1,0,0,0,0,0.25,0,0.5,0,0,0
TB,2019,7/24/19,8,48,aerial,57,60.5,60.5,95.5,95.5,13,2,0,17,3,0,0,18,14,0,0,6,4,0,2,0,0,0,8,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,1,0,2,0,3,0
TB,2019,7/24/19,8,48,basal,45,45.5,45.5,95.5,85.5,17,3,0,15,5,0,0,17,8,0,0,5,2,0,1,0,0,0,10,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0.25,0,0.5,0,0.5,0
TB,2019,7/24/19,8,28,aerial,53,56.5,56.5,98.5,98.5,23,0,4,12,3,0,0,25,6,0,0,8,4,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,1,2,0,0
TB,2019,7/24/19,8,28,basal,45,43.5,43.5,95.5,95.5,32,0,6,9,5,0,0,22,2,0,0,5,2,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0.25,2,0,0
TB,2019,7/24/19,8,18,aerial,58,56.5,56.5,101.5,101.5,12,0,3,18,2,10,0,40,4,0,0,7,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,3,0,0,0,0,0.25,0,0.25,0,0,0.25
TB,2019,7/24/19,8,18,basal,49,46,46,103,103,20,0,5,16,4,12,0,35,2,0,0,5,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,2,0,0,0,0,0.25,0,0.25,0,0,0.25
TB,2019,7/24/19,8,38,aerial,40,40.25,40.25,98.25,98.25,9,4,0,45,0,0,0,0,13,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,3,0,0,15
TB,2019,7/24/19,8,38,basal,21,19.5,19.5,96.5,96.5,20,7,0,50,0,0,0,0,8,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,1,0,0,5
TB,2019,7/24/19,9,19,aerial,35,40,40,95,95,25,0,6,15,4,5,6,10,0,4,0,6,3,0.25,2,0,0,0,0,0,0,0,0,0,0,0.25,0,0,2,0,0,0,0,1,0,1,0.5,0,4
TB,2019,7/24/19,9,19,basal,24,25,25,96,96,35,0,8,14,6,8,5,8,0,1,0,4,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0.5,0,0.5,0.5,0,2
TB,2019,7/24/19,9,39,aerial,40,43.75,43.75,95.75,95.75,16,0,0,25,8,3,3,12,0,10,0,0,1,0,2,0,0,6,4,0,0,0,0,0,0,0.5,0,0,3,0,0,0,0,0.25,0,0,0,0,2
TB,2019,7/24/19,9,39,basal,39,43,38,98,93,26,0,0,15,10,4,2,13,0,5,0,0,0.5,0,1,0,0,6,8,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0.25,0,0,0,0,1
TB,2019,7/24/19,9,49,aerial,43,47.75,47.75,95.75,94.75,13,0,0,30,4,0,0,11,0,16,0,0,4,0,2,0,0,7,5,0.25,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0
TB,2019,7/24/19,9,49,basal,42,44.5,44.5,96.5,96.5,18,0,0,28,6,0,0,15,0,9,0,0,2,0,1,0,0,9,7,0.25,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0
TB,2019,7/24/19,9,29,aerial,42,46.75,46.75,97.75,97.75,28,1,4,13,3,2,0,25,0,7,0,2,4,0,1,0,0,0.5,0.5,0.25,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0.5,0,0,0
TB,2019,7/24/19,9,29,basal,37,33.5,33.5,96.5,96.5,37,2,6,11,4,3,0,22,0,4,0,1,2,0,0.5,0,0,0.5,0.5,0.25,0,0,0,0,0,1,0,0,1,0,0,0,0,0.5,0,0.25,0,0,0
TB,2019,7/24/19,9,9,aerial,50,53.25,53.25,97.25,97.25,24,0,5,10,2,3,0,28,0.25,0.5,0,7,3,0,1,0,0,0,6,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,2,0,1,0,0,0
TB,2019,7/24/19,9,9,basal,40,40.25,40.75,96.25,96.75,32,0,7,7,4,6,0,25,0.25,0.25,0,4,1,0,0.5,0,0,0,6,0,0,0,0,0,0,0.25,0,0,2,0,0,0,0,1,0,0.5,0,0,0
TB,2019,7/24/19,10,20,aerial,50,50.5,50.5,95.5,95.5,12,3,0,30,0,0,0,15,8,0.25,0,6,2,0.25,4,0,0,5,0,0,0.25,8,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,1,0
TB,2019,7/24/19,10,20,basal,38,34,41,97,104,20,4,0,39,0,0,0,14,4,0.25,0,4,1,0.25,2,0,0,4,0,0,0.25,10,0,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0,0,0.5,0
TB,2019,7/24/19,10,50,aerial,64,63.25,63.25,103.25,103.25,3,0,0,37,0,0,0,4,46,0.25,0,0,6,0,1,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0,5
TB,2019,7/24/19,10,50,basal,36,39.5,39.5,98.5,98.5,15,0,0,44,0,0,0,7,28,0.25,0,0,2,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0,1
TB,2019,7/24/19,10,10,aerial,41,43.5,44.5,98,99,20,0.5,0,32,2,0,0,27,0.25,0,0,3,1,0.5,1,8,0,2,0.25,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0,0,0.5,0,0,0,0,0
TB,2019,7/24/19,10,10,basal,32,35.25,35.25,100.25,100.25,29,1,0,30,5,0,0,22,0.25,0,0,2,0.25,0.25,0.25,6,0,3,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0,0
TB,2019,7/24/19,10,30,aerial,53,51.75,51.75,95.75,95.75,10,5,0,29,0,0,0,10,29,0,0,4,5,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,0,0,0
TB,2019,7/24/19,10,30,basal,45,40.5,40.5,97.5,97.5,24,6,0,27,0,0,0,16,17,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0
TB,2019,7/24/19,10,40,aerial,52,53,53,96,96,8,15,0,20,0,0,0,0,38,0,0,3,6,0,4,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
TB,2019,7/24/19,10,40,basal,40,36.25,36.25,95.25,92.25,14,20,0,22,0,0,0,0,27,0,0,2,3,0,3,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0
